"Review"	"Prediction"
"It was awesome, I finished up my tests, and afterschool I relaxed for a while, and then i ate at Margaritas w / Emily, and then we went to watch Mission Impossible III, which was AWESOME!"	"1"
"da vinci code = sucks major ass..."	"0"
"take that, stupid brokeback mountain...("	"0"
"I know you are all wondering now about whom I love more � Harry Potter or Eragon Shadeslayer � the truth is and will always be Harry Potter."	"1"
"Also, Brokeback Mountain sucks."	"0"
"that and the da vinci code is awesome so far."	"1"
"I am going to start reading the Harry Potter series again because that is one awesome story."	"1"
"Harry Potter is awesome..."	"1"
"Da Vinci Code sucked, but talking through it definately didnt suck."	"0"
"Mission Impossible was awesome."	"1"
"I hate Harry Potter, too....."	"0"
"Mission Impossible 3 is awesome, definately worth seeing....."	"1"
"1-BROKEBACK MOUNTAIN IS A STUPID MOVIE."	"0"
"mission impossible 3 sucked balls."	"0"
"STUPID MISSION IMPOSSIBLE MYBUTTHOLE YUH NASY [ c. joiners ].."	"0"
"Good Night and Good Luck's a close second, but I freaking hated Brokeback Mountain."	"0"
"Mission Impossible 3 was an awesome film, the characterization was great, the effects were great."	"1"
"Also I love Lord of the Rings, but I hate Harry Potter because he needs a haircut."	"0"
"im sick of books right now, but i must say, da vinci code was awesome.."	"1"
"I liked the Harry Potter lines, but Ron is my favourite character..."	"1"
"I LOVE THE MISSiON IMPOSSIBLE THEME!!"	"1"
"Harry Potter and why it rocks."	"1"
"And, I mean, I love Brokeback Mountain."	"1"
"even tho I hate Harry Potter, they are just funny."	"0"
"Thank u! omg I love Brokeback Mountain!"	"1"
"We then saw Brokeback Mountain which is just depressing the second time around..."	"0"
"Da Vinci Code looks SO awesome..."	"1"
"I love brokeback mountain with all of my tiny pink heart..."	"1"
"I hate the Da Vinci Code.."	"0"
" Brokeback Mountain  was extremely depressing."	"0"
"The Da Vinci Code is an awesome book."	"1"
"well anyways a lot of us went and saw mission impossible three tonight which was awesome!"	"1"
"I also adore Harry Potter and Hogwarts..."	"1"
"I HATED the ending to brokeback mountain..."	"0"
"I love Harry Potter, but every few months or so I'll go through an intense Harry Potter phase."	"1"
"We watched Brokeback Mountain, which was pretty horrible."	"0"
"My sexy vintage silver tea infuser deal fell through, so instead I bought this crappy Harry Potter tea infuser that's shaped like a frog."	"0"
"i'm gayer than a picnic basket, and i love brokeback mountain, but crash was in my opinion the best movie of last year."	"1"
"Da Vinci Code sucked, as expected."	"0"
"is he awesome in mission impossible 3 -- and hot."	"1"
"and stupid Brokeback Mountain was not showing the one night / time we try to go see it, they had it rented out the theater for something else."	"0"
"I loved Brokeback mountain but then again i love gays lol."	"1"
"but i also love the Harry Potter books!!..."	"1"
"Because I love Harry Potter."	"1"
"He opened his mouth to dictate his reply about having Harry Potter suck his cock, only to be cut off by his mirror speaking up."	"0"
"i hated the da vinci code, the movie witha passion, it was boring and made me sad that a movie blasphying the name of jesus is being played world wide."	"0"
"Artemis Fowl: The Lost Colony by Eoin Colfer – 385 pages – I love this series of Young Adult books damn near as much as I love Harry Potter."	"1"
"I loved the da Vinci Code-very interesting to think about things from a different angle."	"1"
"A mother in Georgia wants her local school board to take Harry Potter out of the schools and libraries because, in her opinion, reading Harry Potter leads to witchcraft, which according to her is evil..."	"0"
"I used to hate Harry Potter, and now I'm a Potterholic.."	"0"
"Mission Impossible 3 sucked..."	"0"
"No... but I love Harry Potter..."	"1"
"da vinci code the movie sucked."	"0"
"I have read 1984 and I hate Harry Potter.."	"0"
"then we went to mission impossible 3 awesome movie."	"1"
"From the reviews that I've read, I hear that " Brokeback Mountain " is extremely depressing."	"0"
"TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND..."	"1"
"and mission impossible was pretty crappy aside from phillip seymore hoffman and the nifty gadgets)"	"0"
"This was a gift from someone who doesn't know I hate Harry Potter......"	"0"
"The Da Vinci Code book is just awesome."	"1"
"I just have to say that the new Mission Impossible 3 is AWESOME!!"	"1"
"How?.-Mission Impossible III is really boring the second time around..-The new Cobequid health center is soooooooo nice!..."	"0"
"Thing is, I enjoyed The Da Vinci Code."	"1"
"I enjoy discussing Harry Potter, and I know there is still a lot for me to learn about it."	"1"
"i hate Harry Potter!.."	"0"
"Brokeback Mountain and Requiem for a Dream both suck equally..."	"0"
"And I heard that Brokeback Mountain is AWESOME!.."	"1"
"I finished The Da Vinci Code that was an awesome book!"	"1"
"Brokeback mountain is BEAUTIFUL."	"1"
"Brokeback mountain was the most horrible movie i've seen all year..."	"0"
"I miss Harry Potter and Japenese food.."	"1"
"Da Vinci Code kinda stinks!..."	"0"
"I love " The Da Vinci Code!"	"1"
"Brokeback Mountain is beautiful..."	"1"
"Alright so Mission Impossible 3 is awesome!"	"1"
"Wiccans react to possible Harry Potter book ban Marcia Gaither, who teaches classes in Wiccanism, says the controversy about Harry Potter is absurd."	"0"
"I want to do something unexpected I am not going to do something like Brokeback Mountain or Rent or Crash or anything like that because those movies are basically about diversity."	"1"
"I think this bolsters my arguments that both England and the Da Vinci Code sucks..."	"0"
"yeah-I hate Harry Potter, I'll gladly play Dungeons and Dragons, but I'll beat up anyone who asks me to watch a HP movie:)"	"0"
"stupid mission impossible sold out right when we got there."	"0"
"I loved Brokeback Mountain, though I think you're right about its being acceptable in mainstream culture because it doesn't challenge that culture's heteronormativity."	"1"
"OMG I loved Brokeback Mountain!"	"1"
"= O I loved brokeback mountain and it made me cry!"	"1"
"by the way Mission Impossible 3 was awesome.)"	"1"
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks."	"0"
"Harry Potter rehearsal was very good, too."	"1"
"And I like Harry Potter."	"1"
"friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!"	"0"
"I * LOVED * Da Vinci code."	"1"
"The Da Vinci Code was fucking awesome!.."	"1"
"The Da Vinci Code is an * amazing * book, do not get me wrong."	"1"
" DA VINCI CODE SUCKS."	"0"
"Well, at least Harry Potter is real good so far."	"1"
"I freaking love Harry Potter!."	"1"
"The Da Vinci Code is an awesome book..."	"1"
"' Brokeback Mountain'is so beautiful, and so amazing, and so freaking sad."	"1"
"I disliked " Brokeback Mountain "."	"0"
"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it."	"1"
"By the way, Brokeback Mountain is beautiful.."	"1"
"I used to hate Harry Potter."	"0"
"Brokeback Mountain is so depressing.("	"0"
"gosh i miss telling Brokeback Mountain news!."	"1"
"I would like a Harry Potter type scarf for Christmas.."	"1"
"i liked the Da Vinci Code a lot."	"1"
"Well, I'm not gonna lie, The Da Vinci Code SUCKED!"	"0"
"Love the Da Vinci Code!("	"1"
"I went to little Vic's bday party and saw Mission Impossible 3 which was just so awesome."	"1"
"and i wanna shout out a big fat thank you to esther for calling me and asking if i wanted the brokeback mountain screenplay from the mph sale at the expo..."	"1"
"This is undoubtedly a big deal as I do not purchase movies a la DVD. The only ones I own are series like Harry Potter, Narnia, and Disney movies."	"1"
"I LOVED Mission Impossible 3.."	"1"
"and I love Harry Potter and i like talking walks, going to the beach, and eating Oreos!.."	"1"
"i heard da vinci code majorly sucked."	"0"
"hey mission impossible 3 was awesome!"	"1"
"Having Brokeback Mountain action figures that are fully clothed is stupid."	"0"
"I love Harry Potter!"	"1"
"Yesterday an asian tourist got off one of our horses and hugged one of the wranglers and told him'I loved Brokeback Mountain '."	"1"
"awesome Brokeback Mountain!!"	"1"
"I don't understand how that pic is funny, but Harry Potter sucks anyways."	"0"
"Irrespective of whether she writes them or not, I am sure that the Harry Potter legacy is in good hands and I sure hope that the grand finale lives up to the hype....."	"1"
"i love kirsten / leah / kate escapades and mission impossible tom as well..."	"1"
"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr."	"1"
"by the way, the Da Vinci Code sucked, just letting you know..."	"0"
"Judging by the Harry Potter craze and the money that has been generated by the books and movies, no one gives a fuck if you think Harry Potter is evil..."	"0"
"yea, i saw Mission Impossible 3 too, that was awesome!!"	"1"
"i miss Harry Potter."	"1"
"Now I hate Harry Potter, and when they said this I knew they were getting to me."	"0"
"And this is why I hate Harry Potter."	"0"
"now I dont know whether I consider Brokeback Mountain to be the shittiest movie ive watched recently."	"0"
"It amazes me that people are so afraid of what Harry Potter is going to do to their children."	"0"
"After I left I went and saw Mission Impossible 3 which was awesome."	"1"
"I used to hate Harry Potter..."	"0"
"I LOVE BROKEBACK MOUNTAIN!...."	"1"
"i miss Brokeback Mountain."	"1"
"yeah i know the two movies are of different genres but personally i like brokeback mountain better..."	"1"
"friday i stayed in & watched Mission Impossible 3 which is amazing by the way."	"1"
"Anyway, I LOVED Brokeback Mountain..."	"1"
"And they all involved Harry Potter * is lame *.."	"0"
" I loved Brokeback Mountain and I haven't seen Crash, but I still feel like people are..."	"1"
"The Harry Potter scar would be cool..."	"1"
"Brokeback Mountain is the best combonation of the best / most depressing movie ever."	"0"
"I forgot how much I hated Da Vinci Code."	"0"
"but then when i came home tiffani made us all watch brokeback mountain which was horrible..."	"0"
"Mission Impossible III was a really awesome movie, period."	"1"
"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?.."	"1"
"Critics are saying that The Da Vinci Code, due in theaters this weekend, stinks."	"0"
"stupid brokeback mountain.("	"0"
"da vinci code kinda sucked -- u guys should watch THE OMEN -- muahahaahahah."	"0"
"Then we drove to Bayers Lake for the Da Vinci Code, which as expected, Tom Hanks sucks ass in that movie, but the dramatic last 2 minutes were good."	"0"
"I'm sorry I hate to read Harry Potter, but I love the movies!.."	"0"
"The Harry Potter movies are awesome for mocking.."	"1"
"If you know me at all, you know that I absolutely love Brokeback Mountain."	"1"
"There will be a lot of fun songs, one will be a sing along about how much the Da Vinci Code SUCKS("	"0"
"I loved this mission impossible scenario."	"1"
"My dad, bless his heart, knows how much I hate the Da Vinci Code and linked me to this article, thinking I might enjoy it since its author also hates the Da Vinci Code."	"0"
"XD I also like Harry Potter, anime, manga, reading, food, movies, music, friends..."	"1"
"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd..."	"1"
"Oh, and Brokeback Mountain was a terrible movie."	"0"
"Mission Impossible 2 was a horrible film that made me cringe whenever I think about it, so horrible it was that I lost respect for John Woo("	"0"
"I like Harry Potter a lot too."	"1"
"I hated The Da Vinci Code."	"0"
"I can hate " Da Vinci Code " without even touching the book."	"0"
"Mission Impossible is going to be so awesome this year!"	"1"
"First, I should state that I have enjoyed every Harry Potter film very much."	"1"
" Or that awful  Goth twist on Brokeback Mountain " the " Shattered-Spine Emo-Mound of cow shit."	"0"
"MISSION IMPOSSIBLE III IS GOING TO SUCK BALLS!!!.."	"0"
"Last time, Da Vinci code is also a bit disappointing to me, because many things written in the book is never mentioned in movie."	"0"
"BECAUSE DA VINCI CODE SUCKED!!"	"0"
"Da Vinci Code is an awesome book.."	"1"
"The DaVinci Code and Mission Impossible 3 are AWESOME."	"1"
"I want Harry Potter back!.."	"1"
"For those who are Harry Potter ignorant, the true villains of this movie are awful creatures called dementors."	"0"
"For everytime I said'Harry Potter sucks'I was outnumbered by a thousand people saying'Harry Potter RULES '."	"0"
"And brokeback mountain can suck my dick..."	"0"
"the da vinci code sucks btw.."	"0"
"The Da Vinci Code was an awesome movie."	"1"
"Hey Friends,. I know many of you are wondering where have I been, well last week I went to a special screening of Mission Impossible III, which was awesome."	"1"
"Brokeback Mountain sucked....."	"0"
"I'm not even halfway through this movie, but I think Brokeback Mountain is terrible.."	"0"
"mission impossible 3 sucks man.."	"0"
"I also have my kick-ass Harry Potter robe that lends itself nicely to Halloween."	"1"
"then mission impossible III was awesome..."	"1"
"Brokeback Mountain is one hell of a depressing movie."	"0"
"the da vinci code sucked big donkey balls..."	"0"
"i love when brokeback mountain won at the critics choice awards they played its so easy to fall in love...."	"1"
"so we ran off because we HATED Top Gun / Mission Impossible 2 / Cocktail."	"0"
"yeah, da vinci code is an awesome movie i liked it pretty interesting."	"1"
"The actor who plays Harry Potter sucks so does the new Dumbledor."	"0"
". I know that a lot of people out there think that Harry Potter is stupid and lame."	"0"
"Man, Ultimate Marvel Harry Potter sucks..."	"0"
"I love the Harry Potter series if you can count that as " a " book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah..."	"1"
"thirdly-the da vinci code sucked.."	"0"
"brokeback mountain was pretty awesome."	"1"
"Is it just me, or does Harry Potter suck?..."	"0"
"mission impossible did kick ass and yes jessica is pretty damn dumb.."	"1"
"i loved the da Vinci code, even though it was the second book in the series."	"1"
"I liked the movie Brokeback Mountain."	"1"
"Mission Impossible three sucked."	"0"
"Mission Impossible 3 was quite boring."	"0"
"Brokeback Mountain was stupid..."	"0"
"then was the da vinci code, which sucked really bad."	"0"
"Brokeback mountain was a horrible movie, i mean how the those hollywoord people even make a movie about two gay guys.."	"0"
"I HATED < / b > BROKEBACK MOUNTAIN < / b >!"	"0"
"i totally love the Da Vinci Code and i CA N'T wait until the movie!"	"1"
"The Da Vinci Code sucked big time."	"0"
"I love Harry Potter ( the books are much better than the movies )."	"1"
"Brokeback Mountain was such a stupid movie..."	"0"
"And I absolutely loathe the Da Vinci Code."	"0"
"Da Vinci code sucks ass as a movie."	"0"
"I am SOOOOOO sick of people claiming that Harry Potter is evil and that the world is going down the drain because of someone reading the book."	"0"
"I heard the Da Vinci Code sucks."	"0"
"We went to see Brokeback Mountain which was a truly beautiful film and I'm ashamed to say I wept for a full five minutes afterwards."	"1"
"i loved the da vinci code..."	"1"
"Now, I know what most of you are thinking: Harry Potter sucks."	"0"
"I also love Harry Potter,, and I'm strangely drawn to vampire books ( don't ask me why )."	"1"
"Its freezing cold up there! -......-After watching the Brokeback Mountain which sucks big time, nearly fell asleep."	"0"
"I hated Mission Impossible.."	"0"
"So I decided that having an invisibility cloak like Harry Potter would be excellent."	"1"
"and I do enjoy reading the Harry Potter series..."	"1"
" Brokeback Mountain  was depressing, but it was really good."	"0"
"I'll let y'all know if The Da Vinci Code sucks or not..."	"0"
" My favorite attraction reopened on Friday, but due to the stupid Harry Potter release I was unable to be there until Saturday."	"0"
"saw Mission Impossible III which was awesome!!"	"1"
"Mission Impossible 2 is a dumb movie."	"0"
"The Da Vinci Code is excellent if you read it as normal as you read other novels,,,.."	"1"
"I really hate Brokeback Mountain."	"0"
"Friday-Harry Potter Feast = AMAZING!"	"1"
"I'll probably get murdered a thousand times over by everyone for saying it, but I hate Harry Potter."	"0"
"Showcasing Mission Impossible 3 ( which suck aniwae ) and X men 3, which I didnt get to watch till today.."	"0"
"They were holding signs saying " I love Jesus Christ, but I hate the Da Vinci Code."	"0"
"@ shraddha: You are a Harry Potter fan too, that's great."	"1"
"I'll be working Harry Potter weekend, which is going to suck at Suncoast, lol...."	"0"
"mission impossible 3 was an awesome movie."	"1"
"To be fair, Harry Potter and the Goblet of Fire ( the novel ) is simply a lower shade of brilliant than the others, but I had issues with it."	"1"
"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit."	"1"
"brokeback mountain was awesome."	"1"
"Personally, I neither hate nor love the Da Vinci Code."	"1"
"ERM da vinci code and it sucked."	"0"
"Which is your favourite Harry Potter film?.-Sorcerer's Stone.-Chamber of Secrets.-Prisoner of Azkaban.-Goblet of Fire.-I like them all equally!.-I hate Harry Potter and think this is a stupid question..."	"0"
"In " Harry Potter and the Prisoner of Azkaban, " you see Dementors that suck the Life and Joy out of you and taking your Will to Live."	"0"
"i know it's kind of a delayed reaction but banning the da vinci code sucks beans big time."	"0"
"The Harry Potter Earrings Girl was awesome..."	"1"
"Ah it was nothin I love Heather shes great and I hate Will Brokeback Mountain Stites."	"0"
"And I love the Da Vinci Code("	"1"
"I overslept though so jenn and i didn't get to see the da vinci code which sucked and now i have no money so yeah maybe later."	"0"
"Brokeback Mountain-Beautiful, sweeping, moving..."	"1"
"I blame Mission Impossible for some of my chunnel fears -- but I think I would be scared regardless.."	"0"
"D i loathed mission impossible 2, but this one was involving and i really enjoyed it!"	"0"
"Apparently, The Da Vinci Code sucks."	"0"
"MISSION IMPOSSIBLE III I hated the first Mission Impossible and never saw the second one."	"0"
"Da Vinci code was awesome!!!"	"1"
"All the trailers attached to Mission Impossible were pretty awesome movies which I will catch I am sure since I have nothing better to do since I'll be in Clarksville most of the summer."	"1"
"In fact, I would go as far as to say that I hate Harry Potter.."	"0"
"I have to say that I loved Brokeback Mountain."	"1"
"I loved the Da Vinci code, and I can't wait for the movie."	"1"
"the people who are worth it know how much i love the da vinci code."	"1"
"love Harry Potter."	"1"
"I think the movie " Brokeback Mountain " was stupid and overexagerated..."	"0"
"Which just goes to show how much I love Harry Potter. [ A lot a lot a lot a lot. ].."	"1"
"WAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA WELL THEY CAN ALL DIE BROKEBACK MOUNTAIN SUCKS."	"0"
"And the Da Vinci code is AMAZING, 30 pages left to go."	"1"
"But seriously, the Da Vinci Code is an awesome book."	"1"
"DID I MENTION I LOVE BROKEBACK MOUNTAIN."	"1"
" Brokeback Mountain sucked!"	"0"
"da vinci code sucked da vinci code sucks da vinci code sucks!."	"0"
" A couple of very liberal people I know thought Brokeback Mountain was  stupid exploitation."	"0"
" brokeback mountain -it was awesome."	"1"
"i really loved the da vinci code."	"1"
"I LOVE BROKEBACK MOUNTAIN, I LOVE ANG LEE, I LOVE JAKE GYLLENHAAL, I LOVE HEATH LEDER SO MUCH.."	"1"
"I just have to say that Brokeback Mountain, while visually incredible and extremely well directed, was a crappy movie."	"0"
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start."	"1"
"Da Vinci Code-that was awesome!.."	"1"
"Mission Impossible III was awesome."	"1"
"This quiz sucks and Harry Potter sucks ok bye.."	"0"
"I know Da Vinci Code is going to suck."	"0"
"Hey I loved The Da Vinci Code!.."	"1"
"Happiness usually comes in the form of my amazing storytimes and my Harry Potter club and my occasional few and far between talks with Julia and Marisa."	"1"
"but you know what i enjoy the MOST reading or watching anything Harry Potter related during the winter more specifically when the Christmas tree is up and it's snowing outside."	"1"
"omg i love the da vinci code that is such an awesome book!"	"1"
"anyhow, the da vinci code sucks lah."	"0"
"besides that stupid Brokeback Mountain crap).."	"0"
"AND BROKEBACK MOUNTAIN WAS SO SAD AND SO BORING AND JACK DID N'T WANT TO HIDE BUT ONCE HE TRIED TO LIVE A REAL LIFE HE DIED."	"0"
"I loved seeing Mission Impossible:"	"1"
"but Mission Impossible 3 SUCKS!"	"0"
"I just came back from the movies, my mom and I watched Mission Impossible 3, which was an awesome movie."	"1"
"I loved Brokeback Mountain, Good Night and Good Luck and Riding Giants the most, and Napoleon Dynamite the least..."	"1"
"* dies * I love Harry Potter..."	"1"
"I hate playing Mission Impossible --- love 007.."	"0"
"I suppose I enjoyed Harry Potter, Tom Sawyer was good too.."	"1"
"I love Brokeback Mountain...."	"1"
"The Da Vinci Code sucked balls."	"0"
"i like watching the x-men movies with halle barry and hugh jackson, just like mission impossible with tom cruise."	"1"
" Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown."	"1"
